id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
01011102,183,108,26,20,16,7,6,0,355,91,7,84,174,0,0,1,2,2,6,82,172
01011103,2970,168,623,1195,600,230,87,546,9617,2255,241,1844,2421,17,19,38,84,76,186,1741,2328
01011104,2014,206,413,620,517,179,55,182,6367,1504,133,1317,1622,2,3,3,4,6,128,1311,1614
01011105,1224,47,251,371,323,156,52,185,4231,1203,51,1165,1175,0,0,1,1,2,50,1164,1173
01011201,1648,0,319,204,629,478,8,77,6281,1247,90,1095,1520,6,9,0,0,0,84,1086,1514
01011202,413,11,71,150,96,61,16,76,1464,428,30,283,305,2,3,2,5,4,26,275,299
01011203,723,44,186,180,184,94,24,96,2402,666,49,489,558,6,21,2,5,4,41,462,548
01011204,5051,343,1149,1476,1313,506,140,951,16642,3793,182,3613,4892,19,51,16,47,32,147,3515,4841
01011301,4590,271,1196,1696,845,425,93,487,14301,3556,294,3153,4078,16,23,10,21,20,268,3109,4042
01011302,7226,272,1361,2275,2054,882,259,993,24992,5821,663,5286,6643,28,33,14,40,28,621,5212,6587
01011303,6172,632,1664,1557,1743,457,89,221,18643,3792,280,3524,5856,3,6,6,12,12,271,3506,5841
01011304,4787,25,689,1643,1793,616,11,85,16735,3098,195,3096,4785,0,0,0,0,0,195,3096,4785
01011305,5598,213,1279,2390,1159,494,53,75,17440,3528,251,3447,5512,2,2,1,1,2,248,3444,5508
01011306,5215,323,1103,1406,1679,611,61,240,17124,3507,270,3385,4911,11,17,3,6,6,256,3362,4894
01011401,9801,443,2443,3518,2430,667,201,754,30898,7353,727,7133,9528,40,60,9,18,18,678,7054,9470
01011402,7484,300,1529,2901,2042,485,142,668,24174,5424,595,5321,7354,12,13,4,8,8,579,5300,7334
01022101,1917,114,662,790,247,84,18,19,5343,1201,98,1164,1874,0,0,0,0,0,98,1164,1874
01022102,3385,230,982,1348,617,145,45,147,9848,2072,222,2052,3352,2,1,2,3,4,218,2048,3346
01022103,92,10,38,25,15,3,1,0,242,61,10,54,83,1,1,2,4,4,7,49,78
01022104,10381,851,2691,3724,2161,690,189,607,31240,6786,651,6551,10000,5,5,4,6,8,642,6540,9987
01022105,2598,185,722,965,489,185,40,97,7742,1700,168,1676,2569,1,1,0,0,0,167,1675,2568
01022106,6536,273,1349,2284,1675,681,212,464,21664,4821,411,4728,6406,4,4,2,3,4,405,4722,6398
01022201,5739,307,1329,2015,1476,440,111,517,18297,4092,372,3973,5580,7,11,4,8,8,361,3954,5565
01022202,2912,314,1030,887,485,121,64,84,8048,2143,157,2140,2910,0,0,0,0,0,157,2140,2910
01022203,3297,170,659,1229,942,221,64,91,10523,2215,236,2184,3254,0,0,1,2,2,235,2182,3252
01022204,3503,270,808,1342,597,312,131,316,10962,2542,228,2507,3466,4,4,5,10,10,219,2494,3452
01022205,1452,178,432,421,316,85,19,9,4117,976,100,943,1402,10,11,0,0,0,90,932,1392
01022206,2186,413,513,638,445,108,43,188,6119,1498,134,1496,2184,0,0,0,0,0,134,1496,2184
01022207,3777,574,1040,838,851,354,70,377,11139,2446,191,2272,3338,33,43,3,5,6,155,2224,3299
01033101,11996,476,2595,5013,2877,849,131,441,37685,7759,906,7645,11785,26,26,16,20,32,864,7599,11727
01033102,5708,574,1152,1922,1575,409,62,123,17484,3597,503,3416,5209,120,96,4,5,8,379,3315,5081
01033201,6490,389,1447,2006,1959,564,125,0,20707,4243,422,4171,6298,3,2,4,9,8,415,4160,6287
01033202,5342,667,852,2197,1288,301,31,51,15856,3340,289,3160,5030,13,14,1,3,2,275,3144,5015
01033203,6972,664,1588,2333,1750,508,92,285,21216,4384,427,4269,6832,2,1,2,4,4,423,4265,6826
01044101,11106,390,3065,4714,2044,653,178,481,33652,6958,1039,6883,10998,111,123,10,16,20,918,6744,10867
01044102,8902,206,1542,3872,2715,484,68,116,28710,5560,794,5318,8435,46,44,4,7,8,744,5267,8381
01044103,4549,403,1092,1666,913,361,73,319,13799,2901,298,2804,4320,4,4,1,1,2,293,2799,4314
01044201,10499,743,2496,3943,2466,691,100,470,31953,6883,733,6771,10336,1,1,6,7,12,726,6763,10323
01044202,9085,1242,2555,3219,1424,516,95,283,25138,5271,459,4953,8005,2,1,1,1,2,456,4951,8001
01044203,8682,591,2423,3675,1578,352,54,68,24926,5270,488,5103,8357,5,5,0,0,0,483,5098,8352
02010102,6609,495,1529,2239,1648,449,178,604,20779,4349,357,4221,6485,16,13,11,23,22,330,4185,6447
02010103,7151,453,1455,2757,1907,507,49,189,22280,4409,374,4348,7102,5,7,2,3,4,367,4338,7093
02010104,2167,13,481,732,646,206,53,291,7394,1614,119,1601,2157,1,1,2,3,4,116,1597,2152
02020201,957,55,272,278,221,88,28,110,3035,806,67,795,950,0,0,0,0,0,67,795,950
02020202,2997,236,568,868,744,379,141,467,10160,2326,229,2278,2945,4,4,3,5,6,222,2269,2935
02020203,6139,204,1302,2275,1457,629,179,741,20421,4734,470,4537,5925,61,70,10,16,20,399,4451,5844
02020204,6756,307,1473,2521,1603,561,211,628,21927,4820,486,4682,6573,5,5,2,2,4,479,4675,6564
02020205,8083,348,1595,2828,2201,805,221,659,26836,6040,652,5765,7687,5,25,9,16,18,638,5724,7664
