id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
01011102,181,107,26,19,16,7,6,0,351,90,7,84,174,0,0,1,2,2,6,82,172
01011103,2738,117,511,1156,578,223,86,546,9096,2096,233,1684,2189,17,19,38,83,76,178,1582,2096
01011104,2013,205,413,620,517,179,55,182,6366,1503,133,1317,1621,2,3,3,4,6,128,1310,1613
01011105,1050,45,158,325,295,152,51,185,3767,1064,46,1031,1006,0,0,1,1,2,45,1030,1004
01011201,1372,36,110,131,599,476,10,77,5562,1158,70,1006,1244,0,0,0,0,0,70,1006,1244
01011202,413,11,71,150,96,61,16,76,1464,428,30,283,305,2,3,2,5,4,26,275,299
01011203,670,44,160,164,176,94,23,82,2250,600,45,428,506,6,21,2,5,4,37,402,496
01011204,4770,328,1066,1349,1261,503,139,951,15851,3576,172,3391,4608,19,51,16,47,32,137,3293,4557
01011301,4557,270,1189,1691,842,413,88,487,14169,3524,292,3121,4045,16,23,10,21,20,266,3077,4009
01011302,7132,261,1342,2249,2031,881,254,927,24672,5719,653,5197,6557,28,33,14,40,28,611,5124,6501
01011303,6042,608,1608,1524,1725,458,89,221,18341,3699,277,3429,5730,3,6,6,12,12,268,3411,5715
01011304,4720,25,668,1643,1772,591,11,85,16484,3043,192,3041,4718,0,0,0,0,0,192,3041,4718
01011305,4488,163,779,1975,1045,469,53,33,14522,2739,200,2658,4402,2,2,1,1,2,197,2655,4398
01011306,4818,306,920,1292,1623,584,61,240,16040,3232,247,3110,4514,11,17,3,6,6,233,3087,4497
01011401,9222,437,2156,3382,2331,625,200,694,29238,6882,699,6662,8949,40,60,8,16,16,651,6586,8893
01011402,7399,291,1497,2884,2021,482,143,638,23927,5335,590,5233,7270,12,13,4,8,8,574,5212,7250
01022101,1910,110,671,788,240,78,17,47,5315,1191,98,1153,1866,0,0,0,0,0,98,1153,1866
01022102,3377,227,972,1349,622,144,45,147,9843,2072,222,2052,3344,2,1,2,3,4,218,2048,3338
01022103,92,10,38,25,15,3,1,0,242,61,10,54,83,1,1,2,4,4,7,49,78
01022104,10256,808,2661,3697,2153,684,179,592,30919,6706,643,6471,9875,5,5,4,6,8,634,6460,9862
01022105,2581,185,718,959,485,183,40,88,7681,1684,168,1661,2552,1,1,0,0,0,167,1660,2551
01022106,6443,244,1326,2274,1651,674,212,464,21428,4756,406,4669,6324,4,4,2,3,4,400,4662,6316
01022201,5720,306,1326,2011,1470,438,109,510,18225,4072,371,3952,5561,7,10,4,8,8,360,3934,5546
01022202,625,18,127,206,168,71,24,84,2145,479,54,476,623,0,0,0,0,0,54,476,623
01022203,3291,168,659,1227,942,220,63,91,10504,2212,236,2181,3248,0,0,1,2,2,235,2179,3246
01022204,3497,270,807,1339,596,311,131,316,10942,2535,228,2500,3460,4,4,5,10,10,219,2486,3446
01022205,1452,178,432,421,316,85,19,9,4117,976,100,943,1402,10,11,0,0,0,90,932,1392
01022206,1999,413,513,559,360,102,26,188,5410,1322,118,1320,1997,0,0,0,0,0,118,1320,1997
01022207,3693,566,1011,816,831,349,70,377,10902,2389,184,2214,3254,33,43,3,5,6,148,2166,3215
01033101,11764,437,2540,4933,2835,833,130,450,37051,7597,894,7483,11553,27,27,17,23,34,850,7433,11492
01033102,5271,169,1140,1909,1572,406,61,123,16983,3467,501,3392,5176,120,96,4,5,8,377,3291,5048
01033201,5729,174,1323,1765,1813,529,125,0,18762,3794,386,3722,5537,3,2,4,9,8,379,3711,5526
01033202,4523,63,728,2123,1275,297,31,51,14710,3001,282,2819,4209,13,14,1,3,2,268,2803,4194
01033203,6516,312,1538,2282,1752,504,93,259,20579,4231,421,4126,6382,2,1,2,4,4,417,4121,6376
01044101,11079,388,3060,4708,2030,652,177,496,33570,6938,1038,6862,10971,110,121,10,16,20,918,6725,10841
01044102,8877,206,1524,3868,2714,484,66,116,28646,5545,793,5302,8410,46,44,4,7,8,743,5251,8356
01044103,4331,263,1091,1603,906,361,72,274,13389,2823,295,2743,4179,4,4,1,1,2,290,2738,4173
01044201,9963,461,2399,3810,2444,691,99,463,30977,6643,721,6531,9800,1,1,6,7,12,714,6523,9787
01044202,8976,1218,2517,3205,1400,516,96,208,24831,5191,455,4873,7896,2,1,1,1,2,452,4871,7892
01044203,8325,406,2353,3594,1553,352,54,99,24289,5109,481,4942,8000,5,5,0,0,0,476,4937,7995
02010102,6421,442,1470,2203,1625,437,173,604,20318,4225,352,4157,6368,16,13,10,22,20,326,4122,6332
02010103,7137,453,1438,2765,1907,504,49,174,22240,4395,374,4335,7088,5,7,2,3,4,367,4325,7079
02010104,2167,13,481,732,646,206,53,291,7394,1614,119,1601,2157,1,1,2,3,4,116,1597,2152
02020201,496,0,137,168,124,45,15,53,1642,449,35,438,489,0,0,0,0,0,35,438,489
02020202,2922,182,561,864,740,374,140,467,10033,2297,225,2248,2868,3,2,2,4,4,220,2242,2861
02020203,6142,202,1303,2291,1451,627,178,716,20404,4718,469,4518,5926,61,69,10,16,20,398,4433,5845
02020204,6733,302,1462,2515,1602,562,212,611,21872,4803,486,4670,6556,5,5,2,2,4,479,4663,6547
02020205,8040,344,1593,2828,2192,783,216,651,26644,6003,652,5728,7644,5,25,9,16,18,638,5687,7621
02020206,9995,667,2306,3299,2427,956,225,883,31897,7282,656,7003,9652,7,4,7,10,14,642,6988,9631
02030301,3958,118,778,1424,1064,458,92,200,13244,2833,376,2664,3758,10,7,6,9,12,360,2647,3736
02030302,6573,286,1564,2243,1688,602,121,524,21155,4585,479,4447,6413,5,4,5,16,10,469,4426,6398
02030401,8211,737,2132,2908,1659,580,140,425,24526,5689,547,5540,8003,6,8,2,8,4,539,5524,7993
02030402,5644,338,1203,1974,1473,488,113,408,18084,4055,390,3875,5443,1,1,1,2,2,388,3872,5440
02040501,2836,83,287,694,1178,582,11,9,10436,1744,78,1742,2832,0,0,1,1,2,77,1740,2830
02040502,4282,168,944,1588,1156,365,49,92,13655,2793,238,2746,4200,2,3,5,16,10,231,2727,4188
02040503,6091,215,1301,2519,1421,501,100,260,19423,4110,391,4030,5992,16,24,0,0,0,375,4006,5976
02040701,6942,760,1086,2730,1732,581,33,168,21321,4315,233,4127,6518,1,1,0,0,0,232,4126,6517
02040702,6160,417,1412,2444,1513,317,34,185,18599,4254,385,4122,5993,23,26,3,5,6,359,4091,5964
02040703,696,61,394,52,142,30,16,7,1826,420,25,418,692,1,1,0,0,0,24,417,691
02050601,5343,283,1562,2262,973,220,41,14,15445,3415,315,3382,5297,3,1,1,1,2,311,3380,5292
02050602,11600,553,2886,4418,2814,756,120,435,35770,7984,684,7848,11415,4,4,6,10,12,674,7834,11399
02050801,10635,585,2833,4150,2214,703,104,362,32058,6951,702,6864,10518,9,8,6,11,12,687,6845,10497
02050802,12067,759,3233,4854,2460,592,123,367,35692,8114,696,7960,11846,6,8,0,0,0,690,7952,11840
02050803,4056,141,754,1551,1342,207,22,315,13152,2742,283,2699,4000,0,0,1,1,2,282,2697,3998
02050804,1762,41,290,637,499,162,90,315,6193,1557,228,1556,1761,92,153,4,9,8,132,1394,1661
03010102,5990,26,1048,1241,2463,1012,155,345,22032,3822,709,3796,5931,300,332,18,31,36,391,3433,5595
03010104,44,1,8,10,17,4,3,10,163,29,18,29,44,10,9,3,7,6,5,13,28
03020203,989,15,58,215,315,192,125,528,4274,945,776,941,984,696,702,42,84,84,38,154,204
03020209,6924,189,1084,2306,1706,886,412,2766,25767,5931,2076,5834,6766,1289,1626,135,260,270,652,3948,5207
03020210,5594,217,813,1855,1467,711,318,1650,20389,4483,1639,4433,5532,1149,1330,77,147,154,413,2956,4229
03020307,7944,137,1020,2094,2016,1592,742,2681,31616,7110,3778,7031,7766,3160,3587,171,300,342,447,3144,4264
03030405,5281,3,113,2152,1078,1299,531,838,21516,3922,1313,3900,5249,852,917,35,62,70,426,2921,4327
03030406,3590,34,232,551,929,941,537,2880,16674,3746,2791,3669,3492,2439,2783,239,421,478,113,464,575
